,COUNTY,ALR_VALB,EAL_VALB,EAL_VALT,RISK_VALUE,RISK_SCORE,RISK_SPCTL,EAL_SPCTL,BUILDVALUE,AREA,DISASTER,DISASTER_DATE
0,Alameda,0.002475339852833,823284704.245469,1212128361.7253647,1368904673.4287727,99.87273305758828,94.82758620689656,96.55172413793105,332594614555.0,829.49886279,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Winter Storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
1,Alpine,0.001326496536697,1142909.076435012,2245830.942667637,3031424.1917666886,23.92618517340121,1.724137931034483,1.724137931034483,861599744.0,750.69146529,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storm System, Storm System, Storm System, Storm System, Storm System, Storm System, Storm System, Drought, Fire (Caldor Fire), Fires (Dixie, Fly, and Tamarack Fires), Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2022-08-07 00:00:00, 2022-08-06 00:00:00, 2022-08-05 00:00:00, 2022-08-04 00:00:00, 2022-08-03 00:00:00, 2022-08-02 00:00:00, 2022-08-01 00:00:00, 2021-10-01 00:00:00, 2021-08-30 00:00:00, 2021-07-23 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
2,Amador,0.00106109128743,8622287.357739158,16309058.747849705,17696836.46767155,77.79191854915686,12.06896551724138,17.24137931034483,8125867642.0,612.0676341000001,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Winter Storms, Storms, Drought, Fire (Caldor Fire), Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Winter Storms, Storm System, Wildfire (Butte Fire), Wildfires, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-08-30 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2018-03-01 00:00:00, 2017-01-01 00:00:00, 2015-09-11 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
3,Butte,0.001486878321542,63214942.63509665,134267740.45087844,167225054.57114,97.16831053133949,60.3448275862069,60.3448275862069,42515209025.0,1694.06220711,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Fires (Dixie, Fly, and Tamarack Fires), Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Wildfire (Camp Fire), Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.), Wildfire (Ponderosa Fire), Wildfire (Wall Fire), Lake Oroville Dam Erosion and Flooding, Storm System, Wildfires, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-07-23 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2018-11-01 00:00:00, 2017-10-01 00:00:00, 2017-09-01 00:00:00, 2017-07-01 00:00:00, 2017-02-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
4,Calaveras,0.001874957267402,24748010.373441648,28359806.93814634,30374240.99569046,86.44607063315304,24.13793103448276,24.13793103448276,13199239686.0,1047.39447072,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Winter Storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Storm System, Wildfire (Butte Fire), Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-01-01 00:00:00, 2015-09-11 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
5,Colusa,0.00166550711956,7109815.340033368,71260808.47832763,105313191.94863044,95.4183900731785,50.0,46.55172413793103,4268859170.0,1168.02722829,"Severe winter storms, Severe winter storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Wildfires, Wildfires, Drought, ","2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
6,Contra Costa,0.001928472955774,421295962.02416176,596515812.6628598,661562637.584107,99.58638243716192,87.93103448275862,87.93103448275862,218460912694.0,812.02574349,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
7,Del Norte,0.00201415694954,13859879.070852736,18494927.019515038,26228230.88722005,84.34616608335983,20.6896551724138,18.965517241379317,6881230916.0,1242.09566052,"Fires (Smith River Complex, Happy Camp Complex), Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires (Slater, Bobcat, and Oak Fires), Fires, High winds and wildfires, Storm System, Rainstorms, Wildfires, Wildfires, Drought, ","2023-08-15 00:00:00, 2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-09-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2016-12-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
8,El Dorado,0.000964624565458,43033974.58090692,53072822.66776635,54116622.932473965,91.60038180082724,32.758620689655174,36.206896551724135,44612148728.0,1804.39429248,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Fires (Fairview and Mosquito Fires), Winter Storms, Drought, Fire (Caldor Fire), Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Storm System, Wildfires, Wildfires, Wildfires (King and Boles Fires), Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2022-09-01 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-08-17 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-09-17 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
9,Fresno,0.000571440626475,91605933.86315791,151424722.0010888,231090303.33674857,98.09099586382436,72.41379310344827,65.51724137931035,160307002371.0,6071.8121841,"Hurricane Hilary, Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires (Creek, El Dorado, and Valley Fires), Fires (Creek, El Dorado, and Valley Fires), Fires, High winds and wildfires, Winter Storms, Storm System, Wildfires, Wildfires, Drought, ","2023-08-20 00:00:00, 2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2023-09-05 00:00:00, 2023-09-04 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2018-03-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
10,Glenn,0.001587808406837,10334938.783047456,72712326.90863475,93950290.1931032,94.81387209672287,43.103448275862064,48.27586206896552,6508933155.0,1340.37292155,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
11,Humboldt,0.003194815207657,89598217.85234883,118015866.71355072,160484184.97033378,97.00922685332483,58.620689655172406,56.896551724137936,28044882733.0,4093.16359335,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Earthquake, Winter Storms, Storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Storm System, Rainstorms, Wildfires, Wildfires, Winter storms, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2022-12-20 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-01-01 00:00:00, 2016-12-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2015-02-06 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
12,Imperial,0.002771067093171,92965902.53365175,135567859.1182383,230450355.00354367,98.05917912822144,70.6896551724138,62.068965517241374,33548773598.0,4525.87668897,"Hurricane Hilary, Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Tropical Storm Kay, Drought, Fires, High winds and wildfires, Wildfires, Wildfires, Rainstorms, Drought, ","2023-08-20 00:00:00, 2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2022-09-09 00:00:00, 2021-10-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2015-07-18 00:00:00, 2014-01-01 00:00:00, "
13,Inyo,0.001892696164752,9315613.617914906,12367523.951065172,16167683.91545634,75.88291441298122,10.344827586206897,8.620689655172415,4921874832.0,10330.34495649,"Hurricane Hilary, Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Tropical Storm Kay, Storm System, Storm System, Storm System, Storm System, Storm System, Storm System, Storm System, Drought, Drought, Fires, High winds and wildfires, Flooding (melting of snowpack), Storm System, Rainstorms, Wildfires, Wildfires, Drought, ","2023-08-20 00:00:00, 2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2022-09-09 00:00:00, 2022-08-07 00:00:00, 2022-08-06 00:00:00, 2022-08-05 00:00:00, 2022-08-04 00:00:00, 2022-08-03 00:00:00, 2022-08-02 00:00:00, 2022-08-01 00:00:00, 2021-10-01 00:00:00, 2021-07-08 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2015-10-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
14,Kern,0.001098353854113,161170951.30422917,246718363.48600167,348935217.6236055,99.01368119630924,79.3103448275862,77.58620689655173,146738640467.0,8247.345137850001,"Hurricane Hilary, Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Earthquakes, Earthquakes, Winter Storms, Storm System, Wildfire (Erskine Fire), Rainstorms, Wildfires, Wildfires, Rainstorms, Drought, ","2023-08-20 00:00:00, 2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-07-05 00:00:00, 2019-07-04 00:00:00, 2018-03-01 00:00:00, 2017-01-01 00:00:00, 2016-06-24 00:00:00, 2015-10-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2015-07-18 00:00:00, 2014-01-01 00:00:00, "
15,Kings,0.000732354145781,15805507.730485832,32860352.70196668,49931550.214623295,91.05949729557749,31.034482758620687,27.58620689655172,21581782286.0,1406.24882307,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
16,Lake,0.001919462441759,27314305.36269876,38144373.228402,55851247.72257346,91.91854915685651,34.48275862068966,31.034482758620687,14230184852.0,1342.84835646,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Winter Storms, Storms, Drought, Fire (Cache Fire), Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Winter storms, Winter storms, Wildfires (River, Ranch, and Steele Fires), Wildfire (Pawnee Fire), Wildfires (Cherokee, LaPorte, Sulphur, Potter, Cascade, Lobo, and Canyon Fires.), Storm System, Wildfire (Clayton Fire), Wildfire (Valley Fire), Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-09-07 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2018-07-01 00:00:00, 2018-06-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2016-08-13 00:00:00, 2015-09-13 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
17,Lassen,0.00174467053839,10541726.802338775,13865656.205502858,15824322.944051445,75.34202990773147,8.620689655172415,10.344827586206897,6042244980.0,4767.766227900001,"Severe winter storms, Severe winter storms, Drought, Fires (Dixie, Fly, and Tamarack Fires), Fires (Beckwourth Complex and Lava Fires), Fires (Beckwourth Complex and Lava Fires), Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Wildfires, Drought, ","2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-07-23 00:00:00, 2021-07-01 00:00:00, 2021-06-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-08-01 00:00:00, 2014-01-01 00:00:00, "
